bucket,rows,positives,min_score,max_score,avg_score,positive_rate,lift,cumulative_rows,cumulative_positives,cumulative_positive_capture_rate
1,74,5,0.6983378,0.7932965,0.7427715,0.06756756756756757,1.1225429975429977,74,5,0.11363636363636363
2,73,10,0.6022294,0.6983378,0.6328146,0.136986301369863,2.275840597758406,147,15,0.3409090909090909
3,73,3,0.5413378,0.6022294,0.5686091,0.0410958904109589,0.6827521793275217,220,18,0.4090909090909091
4,73,5,0.47263002,0.5413378,0.4887137,0.0684931506849315,1.137920298879203,293,23,0.5227272727272727
5,73,8,0.44335085,0.47263002,0.46104735,0.1095890410958904,1.8206724782067247,366,31,0.7045454545454546
6,73,4,0.41496468,0.44335085,0.42363065,0.0547945205479452,0.9103362391033624,439,35,0.7954545454545454
7,73,2,0.39535424,0.41496468,0.4082846,0.0273972602739726,0.4551681195516812,512,37,0.8409090909090909
8,73,0,0.30604535,0.39535424,0.35421482,0.0,0.0,585,37,0.8409090909090909
9,73,2,0.047397476,0.30604535,0.14677307,0.0273972602739726,0.4551681195516812,658,39,0.8863636363636364
10,73,5,0.007973573,0.047397476,0.02020795,0.0684931506849315,1.137920298879203,731,44,1.0
