dataset_row_id,source,campaign_id,template_id,segment_id,target_id,age_bracket,gender,education,clicked_flag,baseline_pred_clicked_flag,baseline_pred_probability
2125,synthetic,70,7,14,2090,25-34,M,Tecnica,0,1,0.5631921747362878
173,synthetic,5,1,38,138,55+,M,Tecnica,0,0,0.4144181074325664
1010,synthetic,33,4,29,975,45-54,M,Secundaria,1,1,0.5374362906972365
682,synthetic,22,3,7,647,18-24,M,Universitaria,0,0,0.3151621339932798
934,synthetic,30,3,2,899,18-24,F,Tecnica,0,1,0.5356388786846132
1142,synthetic,37,4,16,1107,25-34,M,Posgrado,0,1,0.5162730689882201
1541,synthetic,51,6,15,1506,25-34,M,Universitaria,0,0,0.44462607575749746
1245,synthetic,41,5,34,1210,55+,F,Tecnica,0,0,0.4894481704683834
1644,synthetic,54,6,31,1609,45-54,M,Universitaria,0,0,0.4460913797700404
2171,synthetic,72,8,39,2136,55+,M,Universitaria,0,0,0.24732334072268788
879,synthetic,29,3,22,844,35-44,M,Tecnica,0,0,0.4542830115196123
169,synthetic,5,1,38,134,55+,M,Tecnica,0,0,0.4144181074325664
2189,synthetic,72,8,39,2154,55+,M,Universitaria,0,0,0.24732334072268788
1382,synthetic,45,5,31,1347,45-54,M,Universitaria,0,1,0.5076593671812831
245,synthetic,7,1,38,210,55+,M,Tecnica,1,0,0.4144181074325664
1695,synthetic,56,6,29,1660,45-54,M,Secundaria,0,1,0.5263290738737817
2126,synthetic,70,7,14,2091,25-34,M,Tecnica,1,1,0.5631921747362878
85,synthetic,2,1,3,50,18-24,F,Universitaria,0,0,0.4768464209720865
2309,synthetic,76,8,39,2274,55+,M,Universitaria,1,0,0.24732334072268788
216,synthetic,7,1,38,181,55+,M,Tecnica,0,0,0.4144181074325664
138,synthetic,4,1,35,103,55+,F,Universitaria,0,0,0.36161421570787755
942,synthetic,31,4,3,907,18-24,F,Universitaria,0,0,0.415858940729461
1518,synthetic,50,5,35,1483,55+,F,Universitaria,1,0,0.35138041189071156
844,synthetic,27,3,14,809,25-34,M,Tecnica,0,1,0.57561505532003
2174,synthetic,72,8,39,2139,55+,M,Universitaria,0,0,0.24732334072268788
401,synthetic,13,2,38,366,55+,M,Tecnica,0,0,0.35737219156027084
1104,synthetic,36,4,9,1069,25-34,F,Secundaria,1,1,0.6206299877773485
1219,synthetic,40,4,12,1184,25-34,F,Posgrado,0,1,0.6018655859421214
1940,synthetic,64,7,30,1905,45-54,M,Tecnica,0,1,0.5646509517024602
296,synthetic,9,1,16,261,25-34,M,Posgrado,0,1,0.5774297411288358
70,synthetic,2,1,3,35,18-24,F,Universitaria,0,0,0.4768464209720865
1818,synthetic,60,6,29,1783,45-54,M,Secundaria,0,1,0.5263290738737817
690,synthetic,22,3,7,655,18-24,M,Universitaria,0,0,0.3151621339932798
56,synthetic,1,1,8,21,18-24,M,Posgrado,0,0,0.4506861699913576
1233,synthetic,40,4,12,1198,25-34,F,Posgrado,0,1,0.6018655859421214
2375,synthetic,78,8,10,2340,25-34,F,Tecnica,0,1,0.6882106892188856
544,synthetic,17,2,38,509,55+,M,Tecnica,0,0,0.35737219156027084
1109,synthetic,36,4,9,1074,25-34,F,Secundaria,0,1,0.6206299877773485
1647,synthetic,54,6,31,1612,45-54,M,Universitaria,0,0,0.4460913797700404
1250,synthetic,41,5,34,1215,55+,F,Tecnica,1,0,0.4894481704683834
653,synthetic,21,3,18,618,35-44,F,Tecnica,0,1,0.5410943594438749
2394,synthetic,79,8,21,2359,35-44,M,Secundaria,0,0,0.427168309247259
810,synthetic,26,3,7,775,18-24,M,Universitaria,0,0,0.3151621339932798
812,synthetic,26,3,7,777,18-24,M,Universitaria,0,0,0.3151621339932798
2046,synthetic,68,7,27,2011,45-54,F,Universitaria,0,1,0.509355271766008
1165,synthetic,38,4,12,1130,25-34,F,Posgrado,0,1,0.6018655859421214
32,observed,11,2,1,3,18-24,unknown,Universitaria,0,1,0.6549327991137245
1366,synthetic,45,5,31,1331,45-54,M,Universitaria,0,1,0.5076593671812831
2009,synthetic,66,7,37,1974,55+,M,Secundaria,0,0,0.27278067073087736
907,synthetic,30,3,2,872,18-24,F,Tecnica,0,1,0.5356388786846132
680,synthetic,22,3,7,645,18-24,M,Universitaria,0,0,0.3151621339932798
820,synthetic,27,3,14,785,25-34,M,Tecnica,0,1,0.57561505532003
1448,synthetic,48,5,1,1413,18-24,F,Secundaria,0,1,0.546018642315586
1301,synthetic,43,5,7,1266,18-24,M,Universitaria,0,0,0.380972637276223
900,synthetic,29,3,22,865,35-44,M,Tecnica,0,0,0.4542830115196123
1201,synthetic,39,4,25,1166,45-54,F,Secundaria,0,1,0.622025680249893
1419,synthetic,47,5,12,1384,25-34,F,Posgrado,0,1,0.6492509078654786
626,synthetic,20,2,1,591,18-24,F,Secundaria,0,0,0.497037993774386
1809,synthetic,60,6,29,1774,45-54,M,Secundaria,0,1,0.5263290738737817
1185,synthetic,39,4,25,1150,45-54,F,Secundaria,0,1,0.622025680249893
498,synthetic,16,2,22,463,35-44,M,Tecnica,0,0,0.4777266765134693
1610,synthetic,53,6,27,1575,45-54,F,Universitaria,0,1,0.5328658644065106
2028,synthetic,67,7,12,1993,25-34,F,Posgrado,0,1,0.5681738850321436
953,synthetic,31,4,3,918,18-24,F,Universitaria,0,0,0.415858940729461
1334,synthetic,44,5,20,1299,35-44,F,Posgrado,0,1,0.5318492665153154
351,synthetic,11,2,14,316,25-34,M,Tecnica,0,1,0.5984536309396917
1581,synthetic,52,6,29,1546,45-54,M,Secundaria,0,1,0.5263290738737817
1913,synthetic,63,7,37,1878,55+,M,Secundaria,0,0,0.27278067073087736
1693,synthetic,56,6,29,1658,45-54,M,Secundaria,0,1,0.5263290738737817
1464,synthetic,48,5,1,1429,18-24,F,Secundaria,0,1,0.546018642315586
1629,synthetic,54,6,31,1594,45-54,M,Universitaria,0,0,0.4460913797700404
1205,synthetic,39,4,25,1170,45-54,F,Secundaria,0,1,0.622025680249893
805,synthetic,26,3,7,770,18-24,M,Universitaria,0,0,0.3151621339932798
2092,synthetic,69,7,25,2057,45-54,F,Secundaria,0,1,0.5888746447293228
1128,synthetic,37,4,16,1093,25-34,M,Posgrado,0,1,0.5162730689882201
1509,synthetic,50,5,35,1474,55+,F,Universitaria,0,0,0.35138041189071156
1738,synthetic,57,6,5,1703,18-24,M,Secundaria,1,0,0.3987567562836669
1402,synthetic,46,5,29,1367,45-54,M,Secundaria,0,1,0.5872308597586173
854,synthetic,28,3,29,819,45-54,M,Secundaria,0,1,0.5154592203587519
2113,synthetic,70,7,14,2078,25-34,M,Tecnica,0,1,0.5631921747362878
727,synthetic,24,3,1,692,18-24,F,Secundaria,0,0,0.473505839550065
1582,synthetic,52,6,29,1547,45-54,M,Secundaria,0,1,0.5263290738737817
2130,synthetic,70,7,14,2095,25-34,M,Tecnica,0,1,0.5631921747362878
1093,synthetic,36,4,9,1058,25-34,F,Secundaria,0,1,0.6206299877773485
346,synthetic,11,2,14,311,25-34,M,Tecnica,1,1,0.5984536309396917
840,synthetic,27,3,14,805,25-34,M,Tecnica,0,1,0.57561505532003
1197,synthetic,39,4,25,1162,45-54,F,Secundaria,0,1,0.622025680249893
839,synthetic,27,3,14,804,25-34,M,Tecnica,0,1,0.57561505532003
695,synthetic,22,3,7,660,18-24,M,Universitaria,0,0,0.3151621339932798
1742,synthetic,57,6,5,1707,18-24,M,Secundaria,0,0,0.3987567562836669
457,synthetic,15,2,5,422,18-24,M,Secundaria,0,0,0.4109650466779636
878,synthetic,29,3,22,843,35-44,M,Tecnica,0,0,0.4542830115196123
1349,synthetic,44,5,20,1314,35-44,F,Posgrado,0,1,0.5318492665153154
2195,synthetic,72,8,39,2160,55+,M,Universitaria,0,0,0.24732334072268788
2115,synthetic,70,7,14,2080,25-34,M,Tecnica,0,1,0.5631921747362878
723,synthetic,23,3,19,688,35-44,F,Universitaria,0,0,0.39986819887576186
111,synthetic,3,1,35,76,55+,F,Universitaria,0,0,0.36161421570787755
2358,synthetic,78,8,10,2323,25-34,F,Tecnica,0,1,0.6882106892188856
713,synthetic,23,3,19,678,35-44,F,Universitaria,0,0,0.39986819887576186
1105,synthetic,36,4,9,1070,25-34,F,Secundaria,0,1,0.6206299877773485
1054,synthetic,34,4,14,1019,25-34,M,Tecnica,0,1,0.5969968667833129
2379,synthetic,79,8,21,2344,35-44,M,Secundaria,0,0,0.427168309247259
1577,synthetic,52,6,29,1542,45-54,M,Secundaria,0,1,0.5263290738737817
1339,synthetic,44,5,20,1304,35-44,F,Posgrado,0,1,0.5318492665153154
2274,synthetic,75,8,11,2239,25-34,F,Universitaria,0,1,0.5550272023699567
1155,synthetic,38,4,12,1120,25-34,F,Posgrado,1,1,0.6018655859421214
1812,synthetic,60,6,29,1777,45-54,M,Secundaria,0,1,0.5263290738737817
1844,synthetic,61,7,36,1809,55+,F,Posgrado,0,0,0.3292874787866965
641,synthetic,21,3,18,606,35-44,F,Tecnica,0,1,0.5410943594438749
1745,synthetic,57,6,5,1710,18-24,M,Secundaria,0,0,0.3987567562836669
96,synthetic,3,1,35,61,55+,F,Universitaria,0,0,0.36161421570787755
2373,synthetic,78,8,10,2338,25-34,F,Tecnica,0,1,0.6882106892188856
377,synthetic,12,2,8,342,18-24,M,Posgrado,0,0,0.391989774281954
1618,synthetic,53,6,27,1583,45-54,F,Universitaria,0,1,0.5328658644065106
1684,synthetic,55,6,34,1649,55+,F,Tecnica,0,0,0.428168058633096
1171,synthetic,38,4,12,1136,25-34,F,Posgrado,0,1,0.6018655859421214
502,synthetic,16,2,22,467,35-44,M,Tecnica,0,0,0.4777266765134693
1863,synthetic,61,7,36,1828,55+,F,Posgrado,0,0,0.3292874787866965
1200,synthetic,39,4,25,1165,45-54,F,Secundaria,0,1,0.622025680249893
688,synthetic,22,3,7,653,18-24,M,Universitaria,0,0,0.3151621339932798
523,synthetic,17,2,38,488,55+,M,Tecnica,0,0,0.35737219156027084
978,synthetic,32,4,37,943,55+,M,Secundaria,0,0,0.3011726353464298
159,synthetic,5,1,38,124,55+,M,Tecnica,0,0,0.4144181074325664
827,synthetic,27,3,14,792,25-34,M,Tecnica,0,1,0.57561505532003
2203,synthetic,73,8,6,2168,18-24,M,Tecnica,1,0,0.483383230036414
813,synthetic,26,3,7,778,18-24,M,Universitaria,0,0,0.3151621339932798
1270,synthetic,42,5,14,1235,25-34,M,Tecnica,0,1,0.6446195008583862
1075,synthetic,35,4,19,1040,35-44,F,Universitaria,0,0,0.42120103233862183
2012,synthetic,66,7,37,1977,55+,M,Secundaria,0,0,0.27278067073087736
1516,synthetic,50,5,35,1481,55+,F,Universitaria,0,0,0.35138041189071156
164,synthetic,5,1,38,129,55+,M,Tecnica,0,0,0.4144181074325664
1548,synthetic,51,6,15,1513,25-34,M,Universitaria,0,0,0.44462607575749746
1057,synthetic,35,4,19,1022,35-44,F,Universitaria,0,0,0.42120103233862183
2328,synthetic,77,8,16,2293,25-34,M,Posgrado,0,1,0.5289141796499319
2081,synthetic,69,7,25,2046,45-54,F,Secundaria,0,1,0.5888746447293228
1462,synthetic,48,5,1,1427,18-24,F,Secundaria,0,1,0.546018642315586
1444,synthetic,47,5,12,1409,25-34,F,Posgrado,0,1,0.6492509078654786
574,synthetic,18,2,29,539,45-54,M,Secundaria,0,1,0.5389420791715934
1136,synthetic,37,4,16,1101,25-34,M,Posgrado,0,1,0.5162730689882201
2282,synthetic,75,8,11,2247,25-34,F,Universitaria,0,1,0.5550272023699567
941,synthetic,31,4,3,906,18-24,F,Universitaria,0,0,0.415858940729461
1065,synthetic,35,4,19,1030,35-44,F,Universitaria,0,0,0.42120103233862183
1492,synthetic,49,5,11,1457,25-34,F,Universitaria,0,1,0.5921443183833353
2185,synthetic,72,8,39,2150,55+,M,Universitaria,0,0,0.24732334072268788
1331,synthetic,44,5,20,1296,35-44,F,Posgrado,0,1,0.5318492665153154
1899,synthetic,63,7,37,1864,55+,M,Secundaria,0,0,0.27278067073087736
1466,synthetic,48,5,1,1431,18-24,F,Secundaria,0,1,0.546018642315586
2409,synthetic,80,8,6,2374,18-24,M,Tecnica,0,0,0.483383230036414
1653,synthetic,54,6,31,1618,45-54,M,Universitaria,0,0,0.4460913797700404
1694,synthetic,56,6,29,1659,45-54,M,Secundaria,1,1,0.5263290738737817
2017,synthetic,67,7,12,1982,25-34,F,Posgrado,0,1,0.5681738850321436
1279,synthetic,42,5,14,1244,25-34,M,Tecnica,0,1,0.6446195008583862
838,synthetic,27,3,14,803,25-34,M,Tecnica,0,1,0.57561505532003
2427,synthetic,80,8,6,2392,18-24,M,Tecnica,0,0,0.483383230036414
1089,synthetic,36,4,9,1054,25-34,F,Secundaria,0,1,0.6206299877773485
1599,synthetic,53,6,27,1564,45-54,F,Universitaria,0,1,0.5328658644065106
221,synthetic,7,1,38,186,55+,M,Tecnica,0,0,0.4144181074325664
784,synthetic,25,3,19,749,35-44,F,Universitaria,0,0,0.39986819887576186
536,synthetic,17,2,38,501,55+,M,Tecnica,0,0,0.35737219156027084
2419,synthetic,80,8,6,2384,18-24,M,Tecnica,0,0,0.483383230036414
1030,synthetic,34,4,14,995,25-34,M,Tecnica,0,1,0.5969968667833129
2089,synthetic,69,7,25,2054,45-54,F,Secundaria,0,1,0.5888746447293228
613,synthetic,20,2,1,578,18-24,F,Secundaria,0,0,0.497037993774386
