term,posterior_mean,posterior_sd,odds_ratio_approx
C(age_bracket)[T.25-34],0.34838253356964727,0.15690651472294137,1.4167741097511808
C(age_bracket)[T.35-44],-0.42533886415531735,0.2905077524976751,0.6535482835154356
C(age_bracket)[T.45-54],0.5828982576306618,0.17119550825342983,1.791222338782465
C(age_bracket)[T.55+],-0.37229800926811385,0.2268502648750745,0.6891488391785071
C(education)[T.Secundaria],-0.008116746723411464,0.16289048772960216,0.9919161051218177
C(education)[T.Tecnica],0.3805763367272788,0.15171466979073858,1.4631276006546783
C(education)[T.Universitaria],-0.29593398104809343,0.1811884744194708,0.743836533707554
C(gender)[T.M],-0.26155728338492606,0.1147200889374822,0.7698517744456949
C(gender)[T.unknown],0.8853445371993038,0.5324117933327476,2.4238193435695163
Intercept,-2.7521784934813853,0.0854592150699487,0.06378874636319772
signal_authority,-0.1291209305016974,0.13705941916535222,0.8788676772098312
signal_personalization,-0.19031863001313637,0.142894874056527,0.8266956819177408
signal_reward,-0.08897928710894687,0.17670861761328147,0.9148645228673945
signal_urgency,0.2516938379433762,0.16379870807965324,1.2862021906895396
