term,posterior_mean,posterior_sd,odds_ratio_approx
C(age_bracket)[T.25-34],0.3362572151281252,0.1569186718517699,1.3996990022713274
C(age_bracket)[T.35-44],-0.43326059090964875,0.29049422200598035,0.6483915048556421
C(age_bracket)[T.45-54],0.5648435670897056,0.17117769758253037,1.7591725687114785
C(age_bracket)[T.55+],-0.39379423424419707,0.22685373733503506,0.6744928294894069
C(education)[T.Secundaria],-0.007442986684313457,0.16288900195845846,0.9925846437476015
C(education)[T.Tecnica],0.38998875889430656,0.15172419370331675,1.4769641910787485
C(education)[T.Universitaria],-0.28463893065143864,0.18337474735412235,0.7522858326426523
C(gender)[T.M],-0.26570955439647204,0.11472637247649649,0.7666617687069882
C(gender)[T.unknown],2.184486332274951,0.6292575541479019,8.8860828868729
Intercept,-2.7696795619887595,0.08568516523899342,0.06268208724776031
signal_authority,-0.10356117925101643,0.13725083633450735,0.9016208605655321
signal_personalization,-0.17298519541678534,0.14310928785698426,0.8411500676286161
signal_reward,-0.07279154551886338,0.1767151939691097,0.9297946296829817
signal_urgency,0.2833542077180823,0.16381586031940978,1.3275753159693788
