term,posterior_mean,posterior_sd,odds_ratio_approx
C(age_bracket)[T.25-34],0.3605435897040206,0.15714668295488707,1.4341087694780288
C(age_bracket)[T.35-44],-0.4157083083681836,0.2907582488957451,0.6598727217658134
C(age_bracket)[T.45-54],0.5799990346797403,0.1714047135641622,1.786036706651824
C(age_bracket)[T.55+],-0.37984138736903167,0.2270791386093989,0.6839698868724249
C(education)[T.Secundaria],0.0033966539903797013,0.16307949567681282,1.0034024291564405
C(education)[T.Tecnica],0.41348744345021504,0.15194730452203767,1.5120819007457105
C(education)[T.Universitaria],-0.26837204493161426,0.1835831014293442,0.7646232539714729
C(gender)[T.M],-0.2712071037159799,0.11487077917162257,0.7624585720487174
C(gender)[T.unknown],2.1436620848225454,0.63034772209192,8.53062035246748
Intercept,-2.8010122202338317,0.08578658985439233,0.06074854059158469
signal_authority,-0.10595817901186791,0.1374486957732724,0.8994622636900126
signal_personalization,-0.16376030898731467,0.14325049199605897,0.8489454820977586
signal_reward,-0.08450211954661697,0.17692499235567888,0.9189697075756327
signal_urgency,0.27875806127395125,0.16406394445431613,1.3214875861671267
