dataset_row_id,source,split
0,observed,train
1,observed,test
2,observed,train
3,observed,train
4,observed,test
5,observed,train
6,observed,train
7,observed,train
8,observed,test
9,observed,train
10,observed,train
11,observed,train
12,observed,train
13,observed,train
14,observed,train
15,observed,test
16,observed,train
17,observed,train
18,observed,train
19,observed,train
20,observed,test
21,observed,test
22,observed,train
23,observed,test
24,observed,train
25,observed,test
26,observed,test
27,observed,train
28,observed,train
29,observed,train
30,observed,train
31,observed,train
32,observed,test
33,observed,train
34,observed,train
35,observed,train
36,synthetic,train
37,synthetic,train
38,synthetic,test
39,synthetic,test
40,synthetic,test
41,synthetic,train
42,synthetic,test
43,synthetic,train
44,synthetic,train
45,synthetic,train
46,synthetic,train
47,synthetic,train
48,synthetic,train
49,synthetic,train
50,synthetic,train
51,synthetic,test
52,synthetic,test
53,synthetic,train
54,synthetic,train
55,synthetic,train
56,synthetic,test
57,synthetic,train
58,synthetic,train
59,synthetic,train
60,synthetic,train
61,synthetic,train
62,synthetic,train
63,synthetic,test
64,synthetic,train
65,synthetic,train
66,synthetic,train
67,synthetic,test
68,synthetic,train
69,synthetic,train
70,synthetic,test
71,synthetic,train
72,synthetic,train
73,synthetic,train
74,synthetic,train
75,synthetic,train
76,synthetic,train
77,synthetic,train
78,synthetic,train
79,synthetic,train
80,synthetic,train
81,synthetic,test
82,synthetic,train
83,synthetic,train
84,synthetic,train
85,synthetic,test
86,synthetic,train
87,synthetic,train
88,synthetic,train
89,synthetic,train
90,synthetic,train
91,synthetic,train
92,synthetic,train
93,synthetic,train
94,synthetic,test
95,synthetic,train
96,synthetic,test
97,synthetic,test
98,synthetic,train
99,synthetic,train
100,synthetic,test
101,synthetic,train
102,synthetic,train
103,synthetic,test
104,synthetic,train
105,synthetic,train
106,synthetic,test
107,synthetic,train
108,synthetic,train
109,synthetic,train
110,synthetic,train
111,synthetic,test
112,synthetic,train
113,synthetic,train
114,synthetic,train
115,synthetic,train
116,synthetic,test
117,synthetic,train
118,synthetic,train
119,synthetic,train
120,synthetic,train
121,synthetic,train
122,synthetic,test
123,synthetic,train
124,synthetic,test
125,synthetic,train
126,synthetic,train
127,synthetic,test
128,synthetic,train
129,synthetic,train
130,synthetic,test
131,synthetic,train
132,synthetic,train
133,synthetic,train
134,synthetic,train
135,synthetic,test
136,synthetic,train
137,synthetic,train
138,synthetic,test
139,synthetic,train
140,synthetic,train
141,synthetic,test
142,synthetic,train
143,synthetic,train
144,synthetic,train
145,synthetic,train
146,synthetic,train
147,synthetic,train
148,synthetic,train
149,synthetic,train
150,synthetic,train
151,synthetic,test
152,synthetic,train
153,synthetic,train
154,synthetic,train
155,synthetic,test
156,synthetic,train
157,synthetic,train
158,synthetic,train
159,synthetic,test
160,synthetic,train
161,synthetic,train
162,synthetic,train
163,synthetic,train
164,synthetic,test
165,synthetic,test
166,synthetic,train
167,synthetic,train
168,synthetic,test
169,synthetic,test
170,synthetic,train
171,synthetic,test
172,synthetic,test
173,synthetic,test
174,synthetic,train
175,synthetic,train
176,synthetic,train
177,synthetic,train
178,synthetic,test
179,synthetic,train
180,synthetic,train
181,synthetic,test
182,synthetic,train
183,synthetic,train
184,synthetic,test
185,synthetic,train
186,synthetic,train
187,synthetic,train
188,synthetic,train
189,synthetic,test
190,synthetic,train
191,synthetic,train
192,synthetic,train
193,synthetic,test
194,synthetic,test
195,synthetic,train
196,synthetic,train
197,synthetic,train
198,synthetic,train
199,synthetic,train
200,synthetic,test
201,synthetic,train
202,synthetic,train
203,synthetic,test
204,synthetic,test
205,synthetic,test
206,synthetic,train
207,synthetic,train
208,synthetic,train
209,synthetic,train
210,synthetic,train
211,synthetic,test
212,synthetic,test
213,synthetic,train
214,synthetic,train
215,synthetic,test
216,synthetic,test
217,synthetic,test
218,synthetic,train
219,synthetic,train
220,synthetic,train
221,synthetic,test
222,synthetic,train
223,synthetic,train
224,synthetic,train
225,synthetic,train
226,synthetic,train
227,synthetic,train
228,synthetic,train
229,synthetic,train
230,synthetic,train
231,synthetic,test
232,synthetic,test
233,synthetic,train
234,synthetic,train
235,synthetic,train
236,synthetic,train
237,synthetic,train
238,synthetic,train
239,synthetic,train
240,synthetic,test
241,synthetic,train
242,synthetic,train
243,synthetic,train
244,synthetic,train
245,synthetic,test
246,synthetic,train
247,synthetic,train
248,synthetic,train
249,synthetic,train
250,synthetic,test
251,synthetic,train
252,synthetic,train
253,synthetic,train
254,synthetic,train
255,synthetic,train
256,synthetic,train
257,synthetic,test
258,synthetic,train
259,synthetic,train
