campaign_id,segment_id,target_id,template_id,template_subject,template_description,template_html_text,text_input,clicked_flag
2,1,1,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
2,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
2,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
1,1,1,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",1
1,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",1
1,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",1
3,1,1,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",1
3,1,2,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
3,1,3,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
4,1,1,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
4,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
4,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
5,1,1,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
5,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
5,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
6,1,1,3,Acción requerida en su cuenta,Plantilla enfocada en urgencia y autoridad institucional.,Mensaje de prueba Hola {{ name }} Abrir página,Acción requerida en su cuenta [SEP] Plantilla enfocada en urgencia y autoridad institucional. [SEP] Mensaje de prueba Hola {{ name }} Abrir página,0
6,1,2,3,Acción requerida en su cuenta,Plantilla enfocada en urgencia y autoridad institucional.,Mensaje de prueba Hola {{ name }} Abrir página,Acción requerida en su cuenta [SEP] Plantilla enfocada en urgencia y autoridad institucional. [SEP] Mensaje de prueba Hola {{ name }} Abrir página,0
6,1,3,3,Acción requerida en su cuenta,Plantilla enfocada en urgencia y autoridad institucional.,Mensaje de prueba Hola {{ name }} Abrir página,Acción requerida en su cuenta [SEP] Plantilla enfocada en urgencia y autoridad institucional. [SEP] Mensaje de prueba Hola {{ name }} Abrir página,0
7,1,1,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
7,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
7,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0
8,1,1,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
8,1,2,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
8,1,3,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
9,1,1,2,,,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","[SEP]  [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
9,1,2,2,,,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","[SEP]  [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
9,1,3,2,,,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","[SEP]  [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0
10,1,1,3,Acción requerida en su cuenta,Plantilla enfocada en urgencia y autoridad institucional.,Mensaje de prueba Hola {{ name }} Abrir página,Acción requerida en su cuenta [SEP] Plantilla enfocada en urgencia y autoridad institucional. [SEP] Mensaje de prueba Hola {{ name }} Abrir página,0
10,1,2,3,Acción requerida en su cuenta,Plantilla enfocada en urgencia y autoridad institucional.,Mensaje de prueba Hola {{ name }} Abrir página,Acción requerida en su cuenta [SEP] Plantilla enfocada en urgencia y autoridad institucional. [SEP] Mensaje de prueba Hola {{ name }} Abrir página,0
10,1,3,3,Acción requerida en su cuenta,Plantilla enfocada en urgencia y autoridad institucional.,Mensaje de prueba Hola {{ name }} Abrir página,Acción requerida en su cuenta [SEP] Plantilla enfocada en urgencia y autoridad institucional. [SEP] Mensaje de prueba Hola {{ name }} Abrir página,0
