dataset_row_id,source,split
0,observed,train
1,observed,test
2,observed,train
3,observed,train
4,observed,train
5,observed,test
6,observed,train
7,observed,train
8,observed,test
9,observed,train
10,observed,train
11,observed,train
12,synthetic,train
13,synthetic,train
14,synthetic,train
15,synthetic,test
16,synthetic,train
17,synthetic,train
18,synthetic,train
19,synthetic,train
20,synthetic,test
21,synthetic,test
22,synthetic,train
23,synthetic,test
24,synthetic,train
25,synthetic,test
26,synthetic,test
27,synthetic,test
28,synthetic,train
29,synthetic,train
30,synthetic,train
31,synthetic,train
32,synthetic,test
33,synthetic,train
34,synthetic,test
35,synthetic,train
36,synthetic,train
37,synthetic,train
38,synthetic,train
39,synthetic,train
40,synthetic,test
41,synthetic,test
42,synthetic,test
43,synthetic,test
44,synthetic,test
45,synthetic,train
46,synthetic,train
47,synthetic,train
48,synthetic,train
49,synthetic,train
50,synthetic,train
51,synthetic,train
52,synthetic,test
53,synthetic,train
54,synthetic,train
55,synthetic,train
56,synthetic,test
57,synthetic,train
58,synthetic,train
59,synthetic,train
60,synthetic,train
61,synthetic,train
62,synthetic,train
63,synthetic,train
64,synthetic,train
65,synthetic,train
66,synthetic,train
67,synthetic,test
68,synthetic,train
69,synthetic,train
70,synthetic,train
71,synthetic,test
72,synthetic,train
73,synthetic,train
74,synthetic,train
75,synthetic,train
76,synthetic,train
77,synthetic,test
78,synthetic,train
79,synthetic,train
80,synthetic,train
81,synthetic,train
82,synthetic,train
83,synthetic,test
84,synthetic,train
85,synthetic,train
86,synthetic,train
87,synthetic,train
88,synthetic,train
89,synthetic,train
90,synthetic,train
91,synthetic,train
92,synthetic,train
93,synthetic,train
94,synthetic,train
95,synthetic,train
96,synthetic,train
97,synthetic,test
98,synthetic,test
99,synthetic,train
100,synthetic,train
101,synthetic,test
102,synthetic,train
103,synthetic,test
104,synthetic,train
105,synthetic,train
106,synthetic,test
107,synthetic,train
108,synthetic,train
109,synthetic,train
110,synthetic,train
111,synthetic,test
112,synthetic,train
113,synthetic,train
114,synthetic,train
115,synthetic,train
116,synthetic,test
117,synthetic,train
118,synthetic,train
119,synthetic,train
120,synthetic,train
121,synthetic,train
122,synthetic,test
123,synthetic,train
124,synthetic,test
125,synthetic,train
126,synthetic,train
127,synthetic,test
128,synthetic,train
129,synthetic,train
130,synthetic,train
131,synthetic,test
132,synthetic,train
133,synthetic,train
134,synthetic,train
135,synthetic,train
136,synthetic,train
137,synthetic,test
138,synthetic,train
139,synthetic,train
140,synthetic,train
141,synthetic,test
142,synthetic,train
143,synthetic,train
144,synthetic,test
145,synthetic,train
146,synthetic,train
147,synthetic,train
148,synthetic,train
149,synthetic,train
150,synthetic,train
151,synthetic,train
152,synthetic,train
153,synthetic,train
154,synthetic,train
155,synthetic,test
156,synthetic,train
157,synthetic,train
158,synthetic,test
159,synthetic,train
160,synthetic,train
161,synthetic,test
162,synthetic,train
163,synthetic,train
164,synthetic,train
165,synthetic,train
166,synthetic,test
167,synthetic,test
168,synthetic,train
169,synthetic,train
170,synthetic,test
171,synthetic,test
172,synthetic,train
173,synthetic,test
174,synthetic,test
175,synthetic,test
176,synthetic,train
177,synthetic,train
178,synthetic,train
179,synthetic,train
180,synthetic,test
181,synthetic,train
182,synthetic,train
183,synthetic,test
184,synthetic,train
185,synthetic,train
186,synthetic,test
187,synthetic,train
188,synthetic,train
189,synthetic,train
190,synthetic,train
191,synthetic,test
192,synthetic,train
193,synthetic,train
194,synthetic,train
195,synthetic,test
196,synthetic,train
197,synthetic,train
198,synthetic,train
199,synthetic,train
200,synthetic,train
201,synthetic,test
202,synthetic,train
203,synthetic,train
204,synthetic,test
205,synthetic,test
206,synthetic,test
207,synthetic,train
208,synthetic,train
209,synthetic,train
210,synthetic,train
211,synthetic,train
212,synthetic,test
213,synthetic,train
214,synthetic,train
215,synthetic,test
216,synthetic,test
217,synthetic,test
218,synthetic,train
219,synthetic,train
220,synthetic,train
221,synthetic,test
222,synthetic,test
223,synthetic,train
224,synthetic,train
225,synthetic,train
226,synthetic,train
227,synthetic,train
228,synthetic,train
229,synthetic,train
230,synthetic,train
231,synthetic,train
232,synthetic,test
233,synthetic,test
234,synthetic,train
235,synthetic,train
236,synthetic,train
237,synthetic,train
238,synthetic,train
239,synthetic,train
240,synthetic,train
241,synthetic,train
242,synthetic,test
243,synthetic,train
244,synthetic,train
245,synthetic,train
246,synthetic,test
247,synthetic,train
248,synthetic,train
249,synthetic,train
250,synthetic,train
251,synthetic,test
252,synthetic,train
253,synthetic,train
