feature,coefficient,abs_coefficient
cat__gender_unknown,1.3848329160515054,1.3848329160515054
cat__gender_M,-0.6725324264290843,0.6725324264290843
cat__age_bracket_55+,-0.6168921083734352,0.6168921083734352
cat__age_bracket_45-54,0.5099875558462045,0.5099875558462045
cat__education_Tecnica,0.4938576549537232,0.4938576549537232
cat__age_bracket_25-34,0.46039085775058936,0.46039085775058936
num__signal_urgency,0.4503647547681843,0.4503647547681843
cat__gender_F,-0.4352289299087183,0.4352289299087183
cat__age_bracket_35-44,-0.26122313653835866,0.26122313653835866
num__signal_authority,-0.2259693618604989,0.2259693618604989
cat__education_Posgrado,-0.2246818147720198,0.2246818147720198
cat__age_bracket_18-24,0.1848083910283684,0.1848083910283684
num__signal_reward,-0.1464595033947964,0.1464595033947964
cat__education_Secundaria,0.14224728984662227,0.14224728984662227
cat__education_Universitaria,-0.13435157031481326,0.13435157031481326
num__signal_personalization,-0.01270943521445698,0.01270943521445698
