feature,coefficient,abs_coefficient
cat__gender_unknown,0.7926596720209856,0.7926596720209856
cat__age_bracket_55+,-0.5561736854654523,0.5561736854654523
cat__gender_M,-0.485388721870109,0.485388721870109
cat__age_bracket_45-54,0.43557233855726896,0.43557233855726896
cat__age_bracket_25-34,0.4296402733319617,0.4296402733319617
cat__education_Tecnica,0.3293751807213253,0.3293751807213253
cat__education_Universitaria,-0.2413881964703934,0.2413881964703934
num__signal_urgency,0.19644514727130438,0.19644514727130438
num__signal_reward,-0.13883995725518447,0.13883995725518447
cat__gender_F,-0.13725952628221072,0.13725952628221072
cat__education_Secundaria,0.08050151376571939,0.08050151376571939
cat__age_bracket_18-24,-0.08048944906111577,0.08048944906111577
cat__age_bracket_35-44,-0.058538053494372536,0.058538053494372536
num__signal_personalization,-0.0506706275898255,0.0506706275898255
num__signal_authority,-0.04461212579428698,0.04461212579428698
cat__education_Posgrado,0.0015229258517356881,0.0015229258517356881
