campaign_id,segment_id,target_id,template_id,template_subject,template_description,template_html_text,text_input,clicked_flag,nlp_pred_clicked_flag,nlp_pred_clicked_prob
1,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",1,0,0.42690384
8,1,3,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0,0,0.4194696
4,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0,0,0.42690384
4,1,2,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0,0,0.42690384
8,1,2,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0,0,0.4194696
9,1,1,2,,,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","[SEP]  [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0,0,0.432303
9,1,3,2,,,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","[SEP]  [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0,0,0.432303
5,1,3,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0,0,0.42690384
12,1,3,4,Notificación de seguridad para {{ name }},Plantilla base para simulación académica con seguimiento de apertura y clic.,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","Notificación de seguridad para {{ name }} [SEP] Plantilla base para simulación académica con seguimiento de apertura y clic. [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0,0,0.4194696
11,1,3,2,,,"Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página","[SEP]  [SEP] Simulación académica Hola {{ name }}, Este mensaje hace parte de una simulación controlada. Abrir página",0,0,0.432303
7,1,1,1,,,"Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa","[SEP]  [SEP] Simulación académica de concienciación Hola {{name}}, Este mensaje es parte de un ejercicio controlado de aprendizaje. Abrir página educativa",0,0,0.42690384
