dataset_row_id,source,campaign_id,template_id,segment_id,target_id,age_bracket,gender,education,clicked_flag,baseline_pred_clicked_flag,baseline_pred_probability
1082,synthetic,36,4,9,1071,25-34,F,Secundaria,0,1,0.6062965691693055
174,synthetic,6,1,4,163,18-24,F,Posgrado,0,1,0.5627508845796775
2360,synthetic,79,8,21,2349,35-44,M,Secundaria,0,0,0.37415403364203026
2351,synthetic,78,8,10,2340,25-34,F,Tecnica,0,1,0.689137718307322
1546,synthetic,52,6,29,1535,45-54,M,Secundaria,0,1,0.5045236720418544
158,synthetic,5,1,38,147,55+,M,Tecnica,0,0,0.48297394407387784
939,synthetic,31,4,3,928,18-24,F,Universitaria,0,0,0.46993382141978435
1659,synthetic,55,6,34,1648,55+,F,Tecnica,0,0,0.3728824873941997
1627,synthetic,54,6,31,1616,45-54,M,Universitaria,0,0,0.43573157273396207
754,synthetic,25,3,19,743,35-44,F,Universitaria,1,0,0.33176975334992687
21,synthetic,1,1,8,10,18-24,M,Posgrado,0,1,0.5037575453369451
1935,synthetic,65,7,9,1924,25-34,F,Secundaria,0,1,0.5708480080235914
1800,synthetic,60,6,29,1789,45-54,M,Secundaria,0,1,0.5045236720418544
1939,synthetic,65,7,9,1928,25-34,F,Secundaria,0,1,0.5708480080235914
1745,synthetic,58,6,5,1734,18-24,M,Secundaria,0,0,0.42382666466906355
1814,synthetic,61,7,36,1803,55+,F,Posgrado,0,0,0.2388671761734676
1755,synthetic,59,6,38,1744,55+,M,Tecnica,0,0,0.31926011012667294
599,synthetic,20,2,1,588,18-24,F,Secundaria,0,0,0.4857361085770838
2282,synthetic,76,8,39,2271,55+,M,Universitaria,0,0,0.2410915259592247
271,synthetic,9,1,16,260,25-34,M,Posgrado,0,1,0.5721461819698777
2107,synthetic,70,7,14,2096,25-34,M,Tecnica,0,1,0.5985960470168
40,synthetic,1,1,8,29,18-24,M,Posgrado,0,1,0.5037575453369451
917,synthetic,31,4,3,906,18-24,F,Universitaria,0,0,0.46993382141978435
1799,synthetic,60,6,29,1788,45-54,M,Secundaria,0,1,0.5045236720418544
421,synthetic,14,2,30,410,45-54,M,Tecnica,0,1,0.5944554349827691
1133,synthetic,38,4,12,1122,25-34,F,Posgrado,0,1,0.5162048819831176
996,synthetic,33,4,29,985,45-54,M,Secundaria,0,1,0.5607150477563597
683,synthetic,23,3,19,672,35-44,F,Universitaria,0,0,0.33176975334992687
1345,synthetic,45,5,31,1334,45-54,M,Universitaria,0,1,0.5509650151324413
1143,synthetic,38,4,12,1132,25-34,F,Posgrado,0,1,0.5162048819831176
558,synthetic,19,2,28,547,45-54,F,Posgrado,0,0,0.4753148377465076
1772,synthetic,59,6,38,1761,55+,M,Tecnica,0,0,0.31926011012667294
2056,synthetic,69,7,25,2045,45-54,F,Secundaria,0,1,0.5829532179711919
1955,synthetic,65,7,9,1944,25-34,F,Secundaria,0,1,0.5708480080235914
641,synthetic,21,3,18,630,35-44,F,Tecnica,0,0,0.48201217746666825
429,synthetic,14,2,30,418,45-54,M,Tecnica,0,1,0.5944554349827691
407,synthetic,14,2,30,396,45-54,M,Tecnica,1,1,0.5944554349827691
1229,synthetic,41,5,34,1218,55+,F,Tecnica,0,0,0.4858047080898414
953,synthetic,32,4,37,942,55+,M,Secundaria,0,0,0.2925947566211573
2145,synthetic,72,8,39,2134,55+,M,Universitaria,0,0,0.2410915259592247
1233,synthetic,41,5,34,1222,55+,F,Tecnica,0,0,0.4858047080898414
1944,synthetic,65,7,9,1933,25-34,F,Secundaria,0,1,0.5708480080235914
42,synthetic,2,1,3,31,18-24,F,Universitaria,0,1,0.5848375447419792
1074,synthetic,36,4,9,1063,25-34,F,Secundaria,0,1,0.6062965691693055
1307,synthetic,44,5,20,1296,35-44,F,Posgrado,0,0,0.3965964539427553
1519,synthetic,51,6,15,1508,25-34,M,Universitaria,0,0,0.42357848304329293
1633,synthetic,55,6,34,1622,55+,F,Tecnica,0,0,0.3728824873941997
667,synthetic,22,3,7,656,18-24,M,Universitaria,0,0,0.3795488534760203
2279,synthetic,76,8,39,2268,55+,M,Universitaria,0,0,0.2410915259592247
1019,synthetic,34,4,14,1008,25-34,M,Tecnica,0,1,0.6332252282042902
2188,synthetic,73,8,6,2177,18-24,M,Tecnica,0,1,0.5703318405451754
739,synthetic,25,3,19,728,35-44,F,Universitaria,0,0,0.33176975334992687
1587,synthetic,53,6,27,1576,45-54,F,Universitaria,0,0,0.4947001530640392
2196,synthetic,73,8,6,2185,18-24,M,Tecnica,0,1,0.5703318405451754
530,synthetic,18,2,29,519,45-54,M,Secundaria,0,1,0.5077005453523965
2155,synthetic,72,8,39,2144,55+,M,Universitaria,0,0,0.2410915259592247
2353,synthetic,79,8,21,2342,35-44,M,Secundaria,0,0,0.37415403364203026
799,synthetic,27,3,14,788,25-34,M,Tecnica,1,1,0.6016459921656894
2174,synthetic,73,8,6,2163,18-24,M,Tecnica,0,1,0.5703318405451754
1687,synthetic,56,6,29,1676,45-54,M,Secundaria,0,1,0.5045236720418544
932,synthetic,31,4,3,921,18-24,F,Universitaria,0,0,0.46993382141978435
929,synthetic,31,4,3,918,18-24,F,Universitaria,0,0,0.46993382141978435
488,synthetic,16,2,22,477,35-44,M,Tecnica,0,0,0.4040072425491289
867,synthetic,29,3,22,856,35-44,M,Tecnica,0,0,0.4232890639325734
1078,synthetic,36,4,9,1067,25-34,F,Secundaria,0,1,0.6062965691693055
840,synthetic,28,3,29,829,45-54,M,Secundaria,0,1,0.527550685218911
25,synthetic,1,1,8,14,18-24,M,Posgrado,0,1,0.5037575453369451
1603,synthetic,54,6,31,1592,45-54,M,Universitaria,0,0,0.43573157273396207
1890,synthetic,63,7,37,1879,55+,M,Secundaria,0,0,0.263224757628534
1021,synthetic,34,4,14,1010,25-34,M,Tecnica,0,1,0.6332252282042902
2257,synthetic,75,8,11,2246,25-34,F,Universitaria,0,1,0.541872180501034
2090,synthetic,70,7,14,2079,25-34,M,Tecnica,0,1,0.5985960470168
904,synthetic,30,3,2,893,18-24,F,Tecnica,0,1,0.5924370376931114
886,synthetic,30,3,2,875,18-24,F,Tecnica,0,1,0.5924370376931114
2303,synthetic,77,8,16,2292,25-34,M,Posgrado,0,0,0.46014676472651483
1472,synthetic,49,5,11,1461,25-34,F,Universitaria,0,1,0.5968307949375904
459,synthetic,15,2,5,448,18-24,M,Secundaria,0,0,0.42693324426299445
979,synthetic,33,4,29,968,45-54,M,Secundaria,0,1,0.5607150477563597
1232,synthetic,41,5,34,1221,55+,F,Tecnica,0,0,0.4858047080898414
2224,synthetic,74,8,1,2213,18-24,F,Secundaria,0,1,0.5421244860795618
784,synthetic,26,3,7,773,18-24,M,Universitaria,0,0,0.3795488534760203
1824,synthetic,61,7,36,1813,55+,F,Posgrado,0,0,0.2388671761734676
2393,synthetic,80,8,6,2382,18-24,M,Tecnica,0,1,0.5703318405451754
2182,synthetic,73,8,6,2171,18-24,M,Tecnica,0,1,0.5703318405451754
649,synthetic,22,3,7,638,18-24,M,Universitaria,0,0,0.3795488534760203
1588,synthetic,53,6,27,1577,45-54,F,Universitaria,0,0,0.4947001530640392
908,synthetic,30,3,2,897,18-24,F,Tecnica,0,1,0.5924370376931114
1142,synthetic,38,4,12,1131,25-34,F,Posgrado,0,1,0.5162048819831176
2099,synthetic,70,7,14,2088,25-34,M,Tecnica,0,1,0.5985960470168
32,synthetic,1,1,8,21,18-24,M,Posgrado,0,1,0.5037575453369451
852,synthetic,29,3,22,841,35-44,M,Tecnica,0,0,0.4232890639325734
1215,synthetic,41,5,34,1204,55+,F,Tecnica,0,0,0.4858047080898414
71,synthetic,2,1,3,60,18-24,F,Universitaria,0,1,0.5848375447419792
1621,synthetic,54,6,31,1610,45-54,M,Universitaria,0,0,0.43573157273396207
170,synthetic,6,1,4,159,18-24,F,Posgrado,1,1,0.5627508845796775
2318,synthetic,77,8,16,2307,25-34,M,Posgrado,0,0,0.46014676472651483
1097,synthetic,37,4,16,1086,25-34,M,Posgrado,0,0,0.45699123286027693
776,synthetic,26,3,7,765,18-24,M,Universitaria,0,0,0.3795488534760203
122,synthetic,4,1,35,111,55+,F,Universitaria,0,0,0.3872144665679072
137,synthetic,5,1,38,126,55+,M,Tecnica,0,0,0.48297394407387784
1535,synthetic,51,6,15,1524,25-34,M,Universitaria,0,0,0.42357848304329293
83,synthetic,3,1,35,72,55+,F,Universitaria,0,0,0.3872144665679072
793,synthetic,27,3,14,782,25-34,M,Tecnica,0,1,0.6016459921656894
1006,synthetic,34,4,14,995,25-34,M,Tecnica,0,1,0.6332252282042902
2160,synthetic,72,8,39,2149,55+,M,Universitaria,0,0,0.2410915259592247
1968,synthetic,66,7,37,1957,55+,M,Secundaria,0,0,0.263224757628534
504,synthetic,17,2,38,493,55+,M,Tecnica,0,0,0.32202861324969806
1156,synthetic,39,4,25,1145,45-54,F,Secundaria,0,1,0.6180708654816294
705,synthetic,24,3,1,694,18-24,F,Secundaria,0,1,0.5056094664592065
757,synthetic,25,3,19,746,35-44,F,Universitaria,0,0,0.33176975334992687
2358,synthetic,79,8,21,2347,35-44,M,Secundaria,0,0,0.37415403364203026
1962,synthetic,66,7,37,1951,55+,M,Secundaria,0,0,0.263224757628534
2304,synthetic,77,8,16,2293,25-34,M,Posgrado,0,0,0.46014676472651483
508,synthetic,17,2,38,497,55+,M,Tecnica,0,0,0.32202861324969806
700,synthetic,23,3,19,689,35-44,F,Universitaria,0,0,0.33176975334992687
1838,synthetic,61,7,36,1827,55+,F,Posgrado,0,0,0.2388671761734676
2249,synthetic,75,8,11,2238,25-34,F,Universitaria,0,1,0.541872180501034
1059,synthetic,35,4,19,1048,35-44,F,Universitaria,1,0,0.3620583321082111
1911,synthetic,64,7,30,1900,45-54,M,Tecnica,0,1,0.610452673385737
472,synthetic,16,2,22,461,35-44,M,Tecnica,0,0,0.4040072425491289
361,synthetic,12,2,8,350,18-24,M,Posgrado,0,0,0.3404468249681409
647,synthetic,22,3,7,636,18-24,M,Universitaria,0,0,0.3795488534760203
2045,synthetic,68,7,27,2034,45-54,F,Universitaria,0,1,0.5145732902943181
2203,synthetic,74,8,1,2192,18-24,F,Secundaria,0,1,0.5421244860795618
987,synthetic,33,4,29,976,45-54,M,Secundaria,0,1,0.5607150477563597
1373,synthetic,46,5,29,1362,45-54,M,Secundaria,0,1,0.6180239668644845
1694,synthetic,57,6,5,1683,18-24,M,Secundaria,0,0,0.42382666466906355
1077,synthetic,36,4,9,1066,25-34,F,Secundaria,0,1,0.6062965691693055
1060,synthetic,35,4,19,1049,35-44,F,Universitaria,0,0,0.3620583321082111
2286,synthetic,76,8,39,2275,55+,M,Universitaria,0,0,0.2410915259592247
522,synthetic,18,2,29,511,45-54,M,Secundaria,0,1,0.5077005453523965
1473,synthetic,49,5,11,1462,25-34,F,Universitaria,0,1,0.5968307949375904
653,synthetic,22,3,7,642,18-24,M,Universitaria,0,0,0.3795488534760203
988,synthetic,33,4,29,977,45-54,M,Secundaria,0,1,0.5607150477563597
1802,synthetic,60,6,29,1791,45-54,M,Secundaria,1,1,0.5045236720418544
1385,synthetic,46,5,29,1374,45-54,M,Secundaria,0,1,0.6180239668644845
313,synthetic,11,2,14,302,25-34,M,Tecnica,0,1,0.582444950359394
741,synthetic,25,3,19,730,35-44,F,Universitaria,0,0,0.33176975334992687
1670,synthetic,56,6,29,1659,45-54,M,Secundaria,1,1,0.5045236720418544
1677,synthetic,56,6,29,1666,45-54,M,Secundaria,1,1,0.5045236720418544
1713,synthetic,57,6,5,1702,18-24,M,Secundaria,0,0,0.42382666466906355
697,synthetic,23,3,19,686,35-44,F,Universitaria,0,0,0.33176975334992687
2322,synthetic,78,8,10,2311,25-34,F,Tecnica,0,1,0.689137718307322
538,synthetic,18,2,29,527,45-54,M,Secundaria,0,1,0.5077005453523965
1391,synthetic,46,5,29,1380,45-54,M,Secundaria,0,1,0.6180239668644845
1742,synthetic,58,6,5,1731,18-24,M,Secundaria,0,0,0.42382666466906355
