bucket,rows,positives,min_score,max_score,avg_score,positive_rate,lift,cumulative_rows,cumulative_positives,cumulative_positive_capture_rate
1,73,9,0.68945503,0.8864261,0.7530847,0.1232876712328767,2.028642590286426,73,9,0.20454545454545456
2,72,7,0.6283463,0.68945503,0.64683867,0.09722222222222222,1.599747474747475,145,16,0.36363636363636365
3,72,2,0.5982488,0.6283463,0.6207266,0.027777777777777776,0.45707070707070707,217,18,0.4090909090909091
4,73,4,0.49216765,0.5982488,0.55800956,0.0547945205479452,0.9016189290161892,290,22,0.5
5,72,3,0.4325269,0.49216765,0.4547466,0.041666666666666664,0.6856060606060606,362,25,0.5681818181818182
6,72,3,0.40512323,0.4325269,0.41741678,0.041666666666666664,0.6856060606060606,434,28,0.6363636363636364
7,73,2,0.3331187,0.40512323,0.37691253,0.0273972602739726,0.4508094645080946,507,30,0.6818181818181818
8,72,4,0.238878,0.3331187,0.278525,0.05555555555555555,0.9141414141414141,579,34,0.7727272727272727
9,72,7,0.05123183,0.238878,0.09453124,0.09722222222222222,1.599747474747475,651,41,0.9318181818181818
10,73,3,0.018337216,0.05123183,0.029738668,0.0410958904109589,0.676214196762142,724,44,1.0
